WT_Time,WT_Int,WT_CF_Time,WT_CF_Int,Fx_Time,Fx_Int,Fx_CF_Time,Fx_CF_Int,L76P_Time,L76P_Int,L76P_CF_Time,L76P_CF_Int,F313L_Time,F313L_Int,F313L_CF_Time,F313L_CF_Int
,,43.6127,0.9557,,,37.0248,0.9733,44.1054,0.935,33.1056,0.9205,44.3553,0.9448,36.0743,0.9187
,,43.8423,0.9571,,,37.2196,0.9736,44.3554,0.9679,33.2798,0.9213,44.6053,0.9806,36.2641,0.9199
,,44.0718,0.9584,,,37.4145,0.974,44.6054,0.9148,33.4541,0.9221,44.8553,0.9765,36.454,0.9211
,,44.3014,0.9598,,,37.6094,0.9744,,,33.6283,0.9229,45.1053,0.9655,36.6438,0.9222
,,44.5309,0.9611,,,37.8042,0.9747,,,33.8025,0.9237,45.3561,0.9777,36.8337,0.9233
,,44.7605,0.9624,,,37.9991,0.9751,,,33.9768,0.9245,45.6078,0.9575,37.0236,0.9244
,,44.99,0.9637,,,38.194,0.9754,,,34.151,0.9253,45.8553,0.966,37.2134,0.9255
,,45.2195,0.965,,,38.3888,0.9758,,,34.3252,0.926,46.1053,1,37.4033,0.9266
,,45.4491,0.9662,,,38.5837,0.9761,,,34.4995,0.9268,46.3553,0.9624,37.5932,0.9277
,,45.6786,0.9675,,,38.7786,0.9764,,,34.6737,0.9275,46.6061,0.9676,37.783,0.9288
,,45.9082,0.9687,,,38.9734,0.9767,,,34.848,0.9282,46.8553,0.9577,37.9729,0.9298
,,46.1377,0.9699,,,39.1683,0.977,,,35.0222,0.9289,47.107,0.9501,38.1628,0.9308
,,46.3672,0.9711,,,39.3632,0.9773,,,35.1964,0.9296,47.357,0.9757,38.3526,0.9318
,,46.5968,0.9723,,,39.558,0.9776,,,35.3707,0.9303,47.6045,0.9756,38.5425,0.9328
,,46.8263,0.9735,,,39.7529,0.9779,,,35.5449,0.931,47.8562,0.9795,38.7324,0.9338
,,47.0559,0.9746,,,39.9478,0.9782,,,35.7192,0.9317,48.1053,0.9619,38.9222,0.9348
,,47.2854,0.9758,,,40.1426,0.9785,,,35.8934,0.9323,48.3545,0.9522,39.1121,0.9358
,,47.5149,0.9769,,,40.3375,0.9788,,,36.0676,0.933,48.6053,0.9562,39.302,0.9367
,,47.7445,0.978,,,40.5324,0.979,,,36.2419,0.9336,,,39.4918,0.9377
,,47.974,0.9791,,,40.7272,0.9793,,,36.4161,0.9342,,,39.6817,0.9386
,,48.2036,0.9802,,,40.9221,0.9795,,,36.5904,0.9349,,,39.8715,0.9395
,,48.4331,0.9813,,,41.117,0.9798,,,36.7646,0.9355,,,40.0614,0.9404
,,48.6626,0.9823,,,41.3118,0.98,,,36.9388,0.9361,,,40.2513,0.9413
,,48.8922,0.9834,,,41.5067,0.9803,,,37.1131,0.9367,,,40.4411,0.9422
,,49.1217,0.9844,,,41.7016,0.9805,,,37.2873,0.9372,,,40.631,0.9431
,,49.3513,0.9854,,,41.8964,0.9807,,,37.4616,0.9378,,,40.8209,0.9439
,,49.5808,0.9864,,,42.0913,0.981,,,37.6358,0.9384,,,41.0107,0.9448
,,49.8103,0.9874,,,42.2862,0.9812,,,37.81,0.9389,,,41.2006,0.9456
,,50.0399,0.9884,,,42.481,0.9814,,,37.9843,0.9395,,,41.3905,0.9465
,,,,,,42.6759,0.9816,,,38.1585,0.94,,,41.5803,0.9473
,,,,,,42.8708,0.9818,,,38.3328,0.9405,,,41.7702,0.9481
,,,,,,43.0656,0.982,,,38.507,0.9411,,,41.9601,0.9489
,,,,,,43.2605,0.9822,,,38.6812,0.9416,,,42.1499,0.9497
,,,,,,43.4554,0.9824,,,38.8555,0.9421,,,42.3398,0.9504
,,,,,,43.6502,0.9826,,,39.0297,0.9426,,,42.5296,0.9512
,,,,,,43.8451,0.9828,,,39.204,0.9431,,,42.7195,0.952
,,,,,,44.04,0.983,,,39.3782,0.9436,,,42.9094,0.9527
,,,,,,44.2348,0.9831,,,39.5524,0.944,,,43.0992,0.9534
,,,,,,44.4297,0.9833,,,39.7267,0.9445,,,43.2891,0.9542
,,,,,,44.6246,0.9835,,,39.9009,0.945,,,43.479,0.9549
,,,,,,44.8195,0.9837,,,40.0752,0.9454,,,43.6688,0.9556
,,,,,,45.0143,0.9838,,,40.2494,0.9459,,,43.8587,0.9563
,,,,,,45.2092,0.984,,,40.4236,0.9463,,,44.0486,0.957
,,,,,,45.4041,0.9841,,,40.5979,0.9468,,,44.2384,0.9577
,,,,,,45.5989,0.9843,,,40.7721,0.9472,,,44.4283,0.9583
,,,,,,45.7938,0.9844,,,40.9464,0.9476,,,44.6182,0.959
,,,,,,45.9887,0.9846,,,41.1206,0.948,,,44.808,0.9597
,,,,,,46.1835,0.9847,,,41.2948,0.9484,,,44.9979,0.9603
,,,,,,46.3784,0.9849,,,41.4691,0.9488,,,45.1878,0.9609
,,,,,,46.5733,0.985,,,41.6433,0.9492,,,45.3776,0.9616
,,,,,,46.7681,0.9851,,,41.8176,0.9496,,,45.5675,0.9622
,,,,,,46.963,0.9853,,,41.9918,0.95,,,45.7573,0.9628
,,,,,,47.1579,0.9854,,,42.166,0.9504,,,45.9472,0.9634
,,,,,,47.3527,0.9855,,,42.3403,0.9508,,,46.1371,0.964
,,,,,,47.5476,0.9856,,,42.5145,0.9511,,,46.3269,0.9646
,,,,,,47.7425,0.9858,,,42.6888,0.9515,,,46.5168,0.9652
,,,,,,47.9373,0.9859,,,42.863,0.9518,,,46.7067,0.9658
,,,,,,48.1322,0.986,,,43.0372,0.9522,,,46.8965,0.9664
,,,,,,48.3271,0.9861,,,43.2115,0.9525,,,47.0864,0.9669
,,,,,,48.5219,0.9862,,,43.3857,0.9529,,,47.2763,0.9675
,,,,,,48.7168,0.9863,,,43.56,0.9532,,,47.4661,0.968
,,,,,,48.9117,0.9864,,,43.7342,0.9536,,,47.656,0.9686
,,,,,,49.1065,0.9865,,,43.9084,0.9539,,,47.8459,0.9691
,,,,,,49.3014,0.9866,,,44.0827,0.9542,,,48.0357,0.9696
,,,,,,49.4963,0.9867,,,44.2569,0.9545,,,48.2256,0.9701
,,,,,,49.6911,0.9868,,,44.4312,0.9548,,,48.4154,0.9707
,,,,,,49.886,0.9869,,,44.6054,0.9551,,,48.6053,0.9712
,,,,,,,,,,43.5528,0.9544,,,,
